 temprature, rainfall, humidity, yeild_apples
62.62 80.98 88.10 79.03
50.92 0.16 9.76 20.19
54.89 46.58 59.30 55.43
8.61 68.74 25.02 28.84
29.00 73.19 43.57 45.12
8.12 18.46 62.95 37.60
79.71 75.66 89.34 83.72
81.67 3.16 43.80 47.03
6.14 6.02 77.40 41.75
31.89 11.74 89.92 56.88
96.21 86.66 23.04 57.71
27.93 62.61 42.28 42.04
20.73 36.12 80.17 53.53
8.16 6.75 91.72 49.66
98.31 66.18 30.51 57.98
37.54 20.21 9.56 20.08
76.09 32.48 59.76 59.20
81.48 68.67 21.57 48.96
1.33 91.86 34.86 36.20
1.30 10.12 80.69 42.76
91.33 1.97 73.98 64.78
61.93 70.59 2.40 33.90
30.33 95.00 57.90 57.05
4.00 14.39 90.50 49.33
24.23 7.80 4.57 11.11
94.22 57.97 96.41 88.06
71.15 96.84 23.66 52.54
69.90 26.22 31.01 41.72
37.30 5.82 32.35 28.53
13.21 35.15 94.44 58.21
77.50 64.92 19.67 46.07
66.85 68.57 72.26 69.90
30.28 27.89 10.01 19.67
88.08 9.14 86.84 71.67
95.54 60.42 48.84 65.17
39.19 79.83 72.58 64.01
37.76 32.29 90.91 63.24
81.54 73.08 34.14 56.15
41.20 30.31 20.04 28.44
51.73 9.37 29.41 32.10
17.11 92.44 23.57 35.41
43.84 23.46 44.31 40.00
57.72 7.77 42.06 39.90
24.34 23.71 25.12 24.60
45.05 69.62 49.56 52.22
29.05 13.57 3.12 12.99
38.30 30.13 56.61 45.82
71.99 44.71 71.44 66.26
97.11 70.29 96.48 91.43
28.24 91.54 22.63 38.09
39.27 81.08 76.01 66.00
38.92 48.19 69.34 55.98
69.78 33.74 13.58 34.47
79.02 55.77 97.23 83.47
12.08 72.90 95.60 66.00
56.82 49.71 69.17 61.57
72.24 41.11 79.73 69.76
39.37 88.33 3.75 31.35
53.56 38.18 27.51 37.46
73.10 11.76 12.59 30.58
50.55 52.95 88.77 70.14
76.58 37.46 75.96 68.45
60.90 47.45 26.72 41.12
45.98 22.65 46.28 41.46
28.43 36.86 70.75 51.28
94.48 91.58 8.25 50.78
3.43 12.60 38.67 22.88
47.04 56.54 88.09 69.47
73.42 81.80 59.20 67.99
35.19 10.13 13.44 19.30
58.99 18.59 75.80 59.31
85.02 63.41 25.25 50.81
21.97 63.84 68.64 53.68
65.63 46.98 16.37 37.27
19.21 30.04 84.68 54.11
52.83 19.54 11.92 25.72
33.47 36.21 57.97 46.27
4.73 14.04 86.90 47.68
95.40 52.80 33.73 56.05
2.84 58.19 51.52 38.25
10.06 12.75 57.04 34.09
63.66 16.86 77.70 61.32
89.02 62.41 95.24 86.81
82.70 95.31 59.03 73.39
78.78 0.09 74.84 61.07
44.11 66.60 58.23 55.67
92.68 7.54 87.18 72.90
72.40 41.70 31.00 45.56
9.25 46.02 0.96 12.46
40.30 3.04 58.13 41.76
59.40 54.83 29.06 43.32
19.52 64.64 82.11 59.84
14.40 1.06 52.64 30.85
52.52 3.44 1.38 17.13
28.00 43.27 8.11 21.11
28.16 53.00 89.53 63.81
13.53 31.99 52.36 36.64
36.62 26.49 41.58 37.07
85.71 74.65 19.84 50.56
52.16 5.29 33.65 33.53
85.43 77.46 50.83 66.54
62.77 44.46 45.95 50.70
29.14 14.70 87.28 55.32
93.76 89.65 21.64 56.88
78.27 46.11 44.42 54.91
23.84 54.82 33.18 34.71
6.87 25.25 5.12 9.67
6.59 60.88 14.22 21.26
42.75 20.97 90.24 62.14
64.17 54.50 37.94 49.12
62.73 30.28 60.51 55.13
18.66 63.69 58.85 47.76
0.13 46.28 82.46 50.52
0.41 29.68 13.37 12.74
79.78 97.00 47.03 66.85
2.39 33.37 86.78 50.78
51.73 92.92 51.29 59.75
43.54 82.94 42.19 50.74
42.89 1.25 91.02 58.63
27.82 50.86 45.40 41.22
1.93 25.37 69.98 40.64
11.51 35.05 69.00 44.96
74.17 82.58 64.56 71.05
76.23 95.07 19.83 51.80
51.48 4.92 6.00 19.43
0.22 24.95 55.67 32.89
64.59 37.55 20.36 37.07
45.59 24.41 23.86 30.49
12.05 60.71 26.14 28.83
85.52 98.96 22.44 56.67
37.21 9.03 36.55 31.24
9.54 37.65 93.20 56.99
62.87 81.51 5.19 37.76
21.23 95.63 51.14 51.06
30.22 97.86 76.45 66.86
96.91 27.63 23.05 46.12
11.75 32.44 9.75 14.89
49.10 83.00 63.35 63.01
76.58 65.55 28.48 50.32
88.35 11.71 47.16 52.43
14.47 23.17 22.38 20.16
96.71 74.77 89.80 88.87
42.46 22.64 82.51 58.52
34.44 70.15 81.58 65.15
28.03 90.66 68.24 60.66
95.57 32.36 6.47 38.38
78.29 11.56 7.98 29.79
51.89 47.46 28.86 39.49
82.20 76.10 51.21 65.48
57.83 50.08 29.45 42.09
77.53 4.91 78.96 63.72
94.44 18.07 85.25 74.57
81.89 70.95 18.98 48.25
19.81 74.93 22.08 31.97
93.76 82.54 44.57 66.92
37.62 40.92 94.08 66.51
60.21 69.36 52.87 58.37
31.21 55.07 36.33 38.54
97.45 23.94 57.71 62.88
57.28 60.14 81.56 69.99
94.22 94.93 4.10 49.30
88.79 86.72 11.93 49.95
69.57 92.65 14.28 46.54
47.07 48.61 52.38 50.03
67.00 45.25 2.40 30.35
52.77 51.53 4.34 28.31
42.77 76.82 15.81 36.10
14.54 82.32 34.65 38.15
35.58 13.64 12.29 19.55
25.10 70.62 6.51 24.91
96.89 31.57 90.69 80.73
96.81 62.54 56.98 70.04
37.96 77.47 93.58 73.67
64.93 83.66 95.66 84.04
97.13 12.74 89.77 76.57
80.42 3.60 48.02 48.86
33.56 57.09 3.52 23.25
81.20 12.99 86.50 70.21
54.10 6.09 46.31 40.60
1.48 41.78 53.26 35.43
78.92 21.12 67.24 61.52
62.39 39.81 25.58 39.47
86.03 34.53 48.53 56.98
76.17 38.43 12.15 36.61
38.51 54.00 51.01 47.86
39.32 50.63 94.79 69.32
73.82 20.64 39.99 46.27
71.13 16.22 48.88 49.02
61.26 68.46 71.48 67.81
52.30 16.01 5.84 21.81
5.00 10.72 70.83 39.06
36.79 79.66 65.42 59.68
91.47 69.15 33.10 57.82
35.22 49.96 67.46 54.29
7.86 42.47 80.08 50.89
72.54 23.47 60.37 56.64
4.74 94.06 18.95 29.71
21.84 60.16 80.71 58.94
11.88 57.63 11.73 20.96
76.77 92.17 17.43 50.18
48.71 32.09 93.46 67.76
50.38 18.76 12.39 25.06
4.30 63.26 47.38 37.63
25.99 16.67 91.95 57.11
86.59 77.53 5.75 44.36
25.84 53.69 67.54 52.26
96.24 31.35 24.68 47.48
81.39 61.00 13.50 43.37
22.21 21.48 57.09 39.50
97.68 37.89 76.41 75.09
6.53 33.67 76.24 46.81
57.78 66.95 3.63 32.54
15.73 98.87 31.91 40.45
5.60 8.91 96.81 51.87
98.16 11.25 84.81 74.10
89.38 89.91 72.65 81.12
1.73 54.41 31.34 27.07
90.16 85.29 42.24 65.23
87.93 8.86 17.15 36.73
62.97 22.90 48.12 47.53
88.36 44.47 13.25 42.03
60.00 47.21 34.10 44.49
91.15 56.76 89.87 83.63
25.46 33.55 98.19 63.44
67.14 78.64 52.27 62.01
37.64 25.53 16.53 24.66
63.56 35.68 50.26 51.33
10.24 68.84 5.47 19.57
91.32 52.47 65.60 70.69
38.95 7.65 71.32 48.88
42.88 78.02 41.69 49.31
57.40 96.84 32.19 52.68
90.12 46.54 96.32 84.50
50.69 13.10 93.94 64.80
70.69 22.28 5.12 28.22
75.55 18.63 35.68 44.23
21.44 67.77 74.76 57.37
77.14 78.38 3.00 40.32
70.94 88.07 18.28 48.04
46.16 9.31 95.72 63.57
20.18 67.44 5.68 22.38
28.83 12.84 70.12 46.28
91.65 56.72 53.20 65.44
65.31 77.28 58.70 64.40
84.29 79.95 7.61 45.08
15.29 25.26 4.82 12.05
44.30 2.43 19.35 23.45
26.81 26.00 25.37 25.93
59.57 35.90 2.83 26.47
39.53 38.11 4.46 21.71
14.31 76.10 39.42 39.22
69.92 53.86 72.99 68.24
69.52 77.43 54.45 63.57
88.18 25.65 13.20 38.18
93.37 67.72 42.48 62.80
44.28 20.48 95.40 65.08
29.47 59.26 6.70 24.04
72.49 23.22 13.27 33.03
64.85 63.55 4.69 34.51
66.82 19.93 5.54 26.80
11.14 64.76 3.23 17.91
35.51 86.82 60.96 58.50
38.24 60.33 65.86 56.47
84.62 40.31 51.83 59.36
57.12 69.28 90.30 76.14
68.75 1.03 75.69 58.68
88.79 35.17 73.76 70.55
81.60 36.67 58.67 61.15
2.36 21.23 0.06 4.98
0.64 36.47 39.73 27.35
75.78 11.73 76.27 63.21
64.08 61.41 58.39 60.70
62.11 59.28 17.22 39.10
63.22 75.20 98.02 83.02
61.49 76.22 3.20 35.29
3.14 2.54 75.58 39.24
72.09 71.25 7.55 39.65
45.75 22.97 54.23 45.43
74.65 77.34 63.60 69.66
84.08 24.42 59.78 60.00
62.98 72.93 26.93 46.95
59.17 72.15 7.58 35.97
67.87 18.25 33.02 40.52
79.14 88.33 69.23 76.02
6.26 36.59 70.84 44.62
52.08 3.89 83.19 58.00
40.20 85.61 36.57 47.47
80.79 3.83 97.12 73.56
86.47 60.76 3.93 40.06
34.01 21.69 83.04 56.06
32.24 59.25 96.03 69.54
58.01 85.16 31.93 50.40
84.09 72.75 60.18 69.87
86.75 37.68 93.73 80.43
74.75 86.96 86.96 83.30
5.13 82.69 53.57 44.86
4.19 13.75 32.83 20.42
84.57 68.78 13.31 45.78
92.76 22.30 18.03 41.30
18.31 11.38 74.57 45.05
10.92 54.26 27.50 27.88
86.46 18.07 48.45 53.78
74.60 16.41 0.36 25.84
41.08 43.26 63.72 52.84
62.13 97.83 81.39 78.90
44.40 92.31 35.50 49.53
79.61 44.98 48.81 57.28
30.81 93.66 33.83 44.89
74.40 5.46 19.24 33.03
13.61 97.52 41.51 44.34
97.41 95.22 66.44 81.49
4.93 47.86 66.00 44.05
90.83 14.98 28.71 44.60
46.25 46.54 31.95 39.16
95.70 33.68 30.76 50.83
34.37 19.14 24.88 26.58
74.24 88.67 38.98 59.50
18.43 68.64 89.65 64.08
82.78 37.87 65.72 65.27
6.64 54.70 83.75 54.81
74.86 17.72 68.79 60.40
54.63 31.75 23.14 34.31
43.98 97.57 15.17 40.29
34.78 83.71 78.89 66.62
59.17 86.54 59.53 64.82
46.78 92.55 45.55 55.32
50.63 54.89 60.99 56.66
53.43 47.42 79.41 65.22
28.17 75.33 50.88 48.96
36.32 13.10 28.88 27.96
19.54 33.48 25.58 25.35
94.47 59.58 5.16 42.84
71.19 27.55 9.52 31.63
45.25 12.94 10.57 21.45
4.87 88.26 7.51 22.87
6.43 42.25 92.57 56.66
98.57 86.97 24.21 59.07
44.23 70.74 38.46 46.65
79.38 21.01 37.97 47.00
4.36 38.99 33.81 26.01
26.65 69.13 95.21 69.43
3.30 13.34 32.47 19.89
13.81 29.96 91.94 56.11
44.83 3.51 19.71 24.01
51.20 42.62 66.04 56.90
38.40 23.29 67.73 50.04
19.03 42.75 67.23 47.87
31.22 16.82 24.39 24.93
94.80 0.63 3.51 30.32
41.20 90.69 44.97 52.98
29.95 17.17 47.03 35.93
80.42 47.86 85.56 76.48
32.19 84.99 5.09 29.20
80.02 82.34 16.90 48.92
81.10 49.08 26.18 47.24
58.66 3.72 39.15 37.92
81.81 9.47 50.74 51.81
36.14 76.21 89.19 70.68
88.46 84.76 40.60 63.79
8.55 77.82 13.21 24.73
79.67 88.88 30.57 56.96
85.70 50.48 72.50 72.06
66.95 56.99 41.24 52.10
50.76 40.30 87.47 67.02
1.24 77.66 78.03 54.92
46.18 74.16 16.14 36.76
52.54 46.42 83.26 66.68
58.36 46.84 92.35 73.05
46.82 25.77 27.25 32.83
32.67 23.75 71.65 50.38
11.10 54.79 24.81 26.69
0.59 77.74 76.16 53.80
55.03 19.44 80.94 60.87
4.11 47.07 71.08 46.19
65.52 97.47 37.21 57.75
50.55 4.46 13.02 22.57
75.49 19.42 46.59 49.83
29.83 94.34 27.00 41.32
13.76 82.55 68.77 55.02
3.43 35.71 83.64 49.99
25.78 69.38 58.00 50.61
11.41 76.33 89.98 63.68
58.74 50.85 30.09 42.84
66.91 23.18 98.50 73.96
7.03 66.99 38.72 34.87
63.81 36.39 48.06 50.45
37.30 36.08 89.27 63.04
90.21 24.46 75.73 69.82
76.29 93.81 85.94 84.62
48.74 65.22 33.20 44.27
66.43 33.56 6.92 30.10
46.64 60.35 62.78 57.45
25.88 84.25 40.89 45.06
29.18 19.88 96.41 60.94
27.39 3.92 34.63 26.32
42.21 0.67 75.78 50.69
65.47 82.84 41.79 57.10
63.81 24.55 7.92 28.01
29.59 9.80 42.59 32.13
83.30 2.81 22.76 36.93
39.27 81.14 16.41 36.21
90.76 72.44 1.99 42.71
6.06 17.87 46.14 28.46
2.16 39.60 21.28 19.21
32.42 45.47 46.27 41.95
52.85 60.06 70.60 63.17
69.50 51.60 31.93 47.13
73.87 33.45 71.41 64.56
76.37 16.44 92.53 72.46
87.52 16.98 72.06 65.68
56.32 35.39 5.38 26.66
50.44 4.14 75.79 53.86
8.42 78.30 26.87 31.62
42.58 9.52 71.62 50.49
12.66 25.04 27.10 22.36
29.45 78.38 94.34 71.68
32.87 12.14 31.86 28.22
26.98 61.75 20.05 30.47
50.63 46.45 66.31 57.63
29.84 59.04 58.54 50.03
94.82 43.13 0.64 37.39
21.42 23.00 16.85 19.45
21.31 74.40 14.80 28.67
71.21 9.64 64.89 55.74
45.11 50.48 86.97 67.11
8.78 51.80 71.28 48.63
28.11 90.99 68.44 60.85
97.00 59.73 96.96 89.53
77.68 91.27 65.51 74.31
52.54 91.68 37.32 52.76
2.07 97.73 18.30 29.32
11.07 26.17 34.14 25.62
30.34 85.95 75.88 64.23
85.43 79.73 73.15 78.15
32.09 19.20 51.85 39.39
93.85 92.83 98.08 95.76
79.87 80.59 24.24 52.20
27.93 66.58 0.80 22.09
73.98 85.27 35.56 57.03
25.65 41.13 84.14 57.99
26.01 29.68 70.59 49.03
19.31 65.33 12.86 25.29
96.57 92.83 83.35 89.21
35.41 88.06 68.27 62.37
69.46 84.50 21.55 48.51
82.84 6.72 85.92 69.16
88.85 74.86 9.40 46.33
95.40 7.65 92.57 76.44
2.12 24.44 17.94 14.49
60.72 78.73 10.87 39.40
45.32 42.60 24.75 34.49
37.84 26.13 56.15 44.65
60.09 56.41 32.64 45.63
28.09 37.04 55.06 43.37
4.94 59.78 79.20 53.04
35.62 53.81 89.50 66.20
3.56 54.65 68.53 46.26
74.21 83.83 82.94 80.50
11.85 39.89 75.08 49.07
11.35 97.51 79.73 62.77
65.53 43.19 45.91 51.25
59.24 42.91 64.21 58.46
94.89 47.07 13.25 44.51
56.38 82.72 19.06 42.99
96.25 75.28 42.18 65.02
90.38 41.89 85.85 78.42
90.01 95.87 83.38 87.87
84.72 21.36 89.68 74.53
63.61 21.29 22.66 34.67
72.32 3.30 68.26 56.49
35.19 31.86 16.79 25.32
65.98 64.53 84.80 75.10
63.91 26.21 22.73 35.78
95.68 21.72 84.15 75.12
82.44 41.12 94.28 80.10
33.80 90.08 87.07 71.69
93.43 98.51 65.98 80.72
82.17 32.13 93.34 77.75
10.63 0.68 52.32 29.48
35.71 98.59 50.19 55.53
80.58 21.22 29.33 43.08
71.70 66.19 85.03 77.26
15.34 8.66 71.80 42.23
33.20 2.65 92.66 56.82
80.13 2.64 70.75 59.94
28.85 32.12 9.20 19.68
92.85 11.69 1.04 30.71
0.18 70.47 44.16 36.23
66.00 17.99 29.62 38.21
16.87 90.34 84.59 65.42
90.23 41.30 72.71 71.68
89.39 25.21 48.84 56.28
57.27 81.09 76.15 71.47
52.71 61.07 70.62 63.34
13.46 7.06 48.36 29.63
83.60 66.22 70.08 73.36
34.19 92.82 84.30 70.97
84.41 13.35 34.86 45.42
62.08 72.43 64.76 65.49
86.81 22.26 75.29 68.14
68.43 71.44 25.63 47.63
86.14 3.02 23.80 38.35
32.40 82.68 87.07 69.79
13.30 62.03 45.16 38.98
61.41 37.37 85.18 68.49
6.05 81.11 68.85 52.46
72.05 47.54 68.83 65.54
7.42 46.91 59.84 41.53
12.74 44.98 58.64 42.14
53.61 67.22 78.33 68.69
74.08 15.41 17.33 33.97
61.11 27.53 53.16 50.42
96.74 7.28 27.63 44.29
82.20 67.84 60.91 68.68
6.56 19.43 8.07 9.89
81.93 54.72 78.20 74.62
17.78 12.15 6.70 11.11
13.75 4.51 19.18 14.62
84.94 10.35 5.15 30.13
87.94 8.64 1.99 29.11
83.20 75.87 16.29 48.28
6.25 23.07 15.27 14.12
48.46 82.99 22.40 42.34
71.21 80.55 47.79 61.37
49.77 78.15 97.92 79.52
67.05 45.13 33.01 45.65
2.10 1.79 34.91 18.44
10.25 80.10 55.37 46.78
69.26 83.28 70.91 72.89
90.32 73.01 29.76 56.58
79.77 52.63 43.32 56.12
92.09 43.51 5.31 38.98
87.25 52.18 63.44 68.33
9.05 40.13 42.84 32.16
44.96 87.03 17.44 39.61
49.40 30.75 80.56 61.25
90.84 94.07 36.59 64.36
92.53 93.11 31.93 62.35
72.21 41.47 78.03 68.97
8.46 33.18 4.67 11.51
10.34 57.89 96.15 62.76
51.61 30.02 48.10 45.54
45.28 28.40 7.07 22.80
76.68 22.92 63.67 59.42
7.54 43.79 13.98 18.01
30.00 4.26 47.54 33.62
81.24 17.21 58.92 57.27
22.56 44.32 7.12 19.19
47.00 18.26 91.06 63.28
80.33 40.26 32.63 48.47
29.05 73.77 92.20 69.57
45.60 19.61 51.04 43.12
72.91 27.75 1.03 27.94
39.41 14.08 24.85 27.06
13.14 48.02 38.39 32.74
29.15 18.48 90.97 57.93
42.47 95.20 93.95 78.76
65.77 89.16 19.68 47.40
64.28 72.44 3.92 35.73
35.51 68.79 96.56 72.69
34.37 93.19 35.12 46.51
8.52 6.75 42.94 25.38
9.59 65.02 12.25 22.01
75.15 58.12 12.24 40.29
36.18 85.99 58.08 57.09
90.20 96.39 90.69 91.68
77.98 75.13 93.45 85.15
54.33 56.57 88.55 71.89
87.02 60.84 30.97 53.76
38.67 83.50 19.96 38.28
22.56 71.11 34.20 38.09
20.96 22.13 89.47 55.45
41.66 33.33 94.32 66.32
13.43 55.23 79.07 54.61
39.12 87.00 9.48 33.88
71.22 45.66 92.09 76.54
77.63 44.19 81.75 73.00
43.29 66.81 5.22 28.96
23.82 90.09 76.43 63.38
7.74 67.19 63.50 47.51
69.78 15.54 24.79 36.44
69.09 13.22 27.97 37.36
13.45 23.58 54.85 36.18
42.68 54.30 45.49 46.41
28.08 94.87 62.36 58.58
66.95 49.62 76.69 68.35
4.75 28.72 14.77 14.55
66.00 75.08 2.64 36.14
70.72 27.73 37.66 45.59
23.80 10.29 72.03 45.21
81.92 13.38 95.34 74.92
87.19 92.57 47.47 68.41
14.76 61.99 6.28 19.97
94.48 67.57 17.24 50.48
8.93 89.61 23.30 32.25
66.21 79.85 11.35 41.51
33.80 10.27 62.12 43.25
42.93 87.20 94.04 77.34
65.51 86.02 64.84 69.28
9.05 14.24 74.58 42.85
31.05 17.91 83.27 54.53
83.35 23.34 61.82 60.58
57.36 48.54 22.77 38.30
6.89 68.16 90.42 60.91
41.55 96.08 96.33 79.85
88.09 86.12 47.44 67.37
50.96 58.88 22.16 38.14
77.31 35.16 24.11 42.28
1.67 75.21 17.13 24.11
62.55 33.11 47.07 48.92
23.36 36.28 6.73 17.63
81.18 39.59 90.95 77.75
63.09 6.82 14.35 27.47
83.06 9.47 67.58 60.60
82.77 15.02 52.74 54.20
64.25 10.83 90.18 66.53
28.05 85.65 93.45 72.27
29.70 25.53 76.41 52.22
47.63 42.13 68.75 57.09
79.77 73.02 32.61 54.84
9.12 60.89 80.47 55.15
23.74 26.36 44.09 34.44
64.12 64.16 22.04 43.09
19.42 34.47 16.21 20.83
44.14 49.55 40.78 43.54
61.48 77.91 71.57 69.81
41.37 60.79 18.21 33.67
41.89 56.25 17.30 32.47
77.96 35.37 36.57 48.75
59.14 72.21 80.00 72.18
73.97 59.67 55.90 62.08
82.89 80.16 91.93 86.86
84.34 14.36 40.25 48.30
26.11 16.82 35.16 28.78
33.53 79.41 94.39 73.14
92.11 75.55 64.62 75.05
70.21 38.85 53.49 55.58
58.08 76.44 89.60 77.51
81.20 71.33 8.02 42.64
33.75 62.29 84.12 64.64
83.87 2.97 1.79 26.65
58.84 94.13 61.61 67.28
68.73 33.45 0.03 27.32
3.58 44.09 32.63 26.21
65.39 0.34 16.44 27.91
69.01 40.77 83.63 70.67
11.26 9.31 97.04 53.76
66.86 42.32 24.95 41.00
17.00 49.07 20.17 25.00
50.37 16.69 45.23 41.06
95.73 93.20 42.25 68.48
66.60 57.99 75.60 69.38
26.16 59.81 85.54 62.58
9.65 60.11 35.46 32.65
72.97 65.43 22.24 46.10
38.89 43.06 20.08 30.32
19.89 98.12 28.47 39.83
58.10 69.05 96.99 79.73
92.91 37.42 8.28 39.50
90.07 19.48 27.18 44.51
0.60 80.33 74.53 53.51
25.81 81.41 25.90 36.97
75.39 7.67 0.58 24.44
64.89 93.64 33.69 55.04
69.12 27.74 11.44 32.00
50.38 5.38 98.49 65.44
72.30 36.87 69.98 64.05
89.28 37.67 41.45 55.04
5.33 40.44 30.41 24.89
44.07 69.94 1.71 28.06
0.36 70.55 30.10 29.27
57.94 79.00 71.85 69.11
7.02 12.53 32.61 20.92
59.02 98.11 59.21 66.93
60.18 42.92 7.46 30.37
56.80 56.23 49.07 52.82
23.13 37.28 79.28 54.03
98.16 36.61 98.95 86.25
53.15 73.86 85.65 73.54
95.68 72.56 0.46 43.45
65.77 7.72 92.16 67.35
66.47 31.99 39.42 46.05
9.06 69.23 63.93 48.53
93.06 50.17 72.45 74.18
85.90 0.58 8.92 30.35
1.29 45.72 10.61 14.84
90.65 28.33 68.56 67.14
60.84 14.34 12.23 27.23
13.68 95.47 6.61 26.50
2.40 67.00 43.40 35.82
57.33 3.00 36.63 36.11
89.27 16.16 86.16 73.09
31.54 62.24 62.05 52.94
55.68 27.84 46.84 45.69
32.50 21.93 36.89 32.58
69.85 40.31 41.62 49.83
56.21 16.79 4.30 22.37
28.91 34.42 75.11 53.11
58.05 69.40 43.10 52.84
63.03 49.43 53.02 55.31
84.67 72.65 22.08 50.97
49.30 66.43 1.74 28.95
33.27 77.09 52.61 51.70
76.98 94.19 23.09 53.48
6.01 51.09 19.95 22.00
50.50 35.70 8.75 26.66
60.95 47.81 98.40 77.05
62.17 78.97 7.57 38.23
4.24 89.85 73.33 55.91
26.39 13.61 86.58 53.93
36.53 43.48 60.58 49.95
96.85 97.14 22.61 59.79
78.24 19.29 76.67 65.66
3.81 3.00 51.46 27.47
96.49 28.89 25.25 47.35
39.45 31.22 33.73 34.94
47.16 34.27 58.24 50.12
69.84 46.35 57.30 58.87
34.44 98.08 40.90 50.40
62.66 88.85 82.35 77.74
19.55 78.86 71.99 57.63
2.92 15.53 16.66 12.31
27.99 52.24 35.78 36.73
82.17 50.13 38.22 53.79
48.69 45.45 66.08 56.74
66.00 49.80 79.02 69.27
81.24 83.12 18.88 50.44
56.56 98.78 67.28 70.36
43.44 28.32 78.06 57.73
40.07 40.50 9.53 24.89
32.84 65.20 19.65 32.72
70.63 40.05 94.67 76.53
31.92 7.92 63.58 42.95
75.64 2.75 55.26 50.87
57.92 5.54 67.21 52.09
69.75 22.80 47.24 49.11
61.88 34.83 46.23 48.64
53.91 44.84 98.18 74.23
67.10 72.78 10.98 40.18
84.70 82.92 67.09 75.54
35.26 51.24 98.90 70.28
44.62 58.12 90.40 70.21
36.12 52.08 47.24 44.87
42.86 97.81 28.98 46.91
10.21 50.07 65.35 45.75
34.51 34.41 36.32 35.39
12.66 4.35 4.35 6.84
41.88 17.86 33.07 32.67
39.95 61.22 61.15 54.80
38.02 19.61 55.95 43.30
67.08 1.95 67.24 54.13
72.51 49.00 47.54 55.32
8.20 75.13 80.28 57.63
4.94 36.44 90.15 53.84
8.15 50.28 73.15 49.08
30.38 6.74 6.36 13.64
79.01 69.91 53.82 64.59
37.01 21.73 2.77 16.83
46.29 89.09 56.84 60.12
38.35 7.56 57.56 41.80
14.37 93.05 14.50 30.17
43.47 59.72 40.56 45.27
12.83 77.10 13.07 25.80
85.60 97.91 55.17 72.85
90.62 74.10 85.06 84.54
19.21 73.85 89.40 65.23
74.02 77.42 33.79 54.58
20.23 98.41 8.58 30.04
12.37 0.04 2.87 5.15
54.48 10.35 24.82 30.82
88.41 12.71 60.04 59.09
48.86 62.71 57.95 56.18
37.94 36.74 7.27 22.37
95.50 38.10 3.11 37.82
54.11 54.49 47.72 50.99
93.21 54.68 94.11 85.95
71.11 16.91 27.74 38.59
84.16 25.53 65.36 63.03
43.77 67.60 65.45 59.38
12.12 9.50 61.57 36.32
67.31 88.08 61.13 68.37
80.74 12.27 76.41 64.88
69.72 86.51 50.55 63.49
21.50 10.77 76.23 46.72
29.79 67.47 8.63 26.75
66.85 13.76 29.40 37.51
47.76 29.64 57.38 48.95
4.84 79.38 82.31 58.48
69.98 33.46 28.11 41.74
18.98 34.70 21.74 23.50
87.53 9.70 37.56 46.98
96.92 86.56 22.48 57.63
73.44 23.52 33.18 43.33
20.43 74.09 93.28 67.59
61.76 44.25 57.56 56.16
69.43 64.77 7.91 37.74
65.69 66.50 63.27 64.64
2.56 56.41 77.68 50.89
91.44 58.82 12.88 45.64
28.34 89.54 88.68 70.75
35.35 93.51 93.37 75.99
85.38 13.90 93.48 75.13
60.71 14.37 48.38 45.28
27.55 76.73 65.56 56.39
8.61 90.70 44.48 42.96
91.90 62.80 57.37 68.81
89.16 53.37 25.74 50.29
23.37 65.35 73.21 56.69
79.98 14.08 28.59 41.10
34.74 26.04 79.32 55.29
25.91 36.82 68.72 49.50
46.81 59.05 71.50 61.60
22.14 6.76 67.91 41.95
75.49 51.84 23.99 45.01
15.24 1.16 13.19 11.40
25.88 14.34 83.14 52.20
68.28 42.85 6.79 32.45
81.37 80.05 22.42 51.63
40.00 73.31 78.75 66.04
24.76 49.42 89.14 61.88
15.07 52.10 35.95 32.92
61.81 78.53 87.04 77.77
27.90 67.57 46.22 44.99
61.41 34.14 14.13 32.32
93.50 5.76 53.89 56.15
48.16 80.30 33.15 47.08
13.47 20.58 14.34 15.33
68.52 20.80 40.87 45.15
45.07 95.88 74.54 69.97
13.79 38.16 70.69 47.11
88.02 35.72 81.36 74.23
23.96 10.91 17.28 18.01
10.39 89.38 80.80 61.39
23.34 67.73 6.96 24.03
1.82 76.77 35.55 33.67
54.09 39.30 43.31 45.74
41.44 26.94 85.40 60.52
17.04 23.63 27.19 23.43
70.96 91.59 25.11 52.16
67.82 17.73 27.72 37.75
39.00 57.94 97.54 72.06
55.21 90.05 3.50 36.32
45.20 63.01 74.53 63.43
87.11 11.75 86.91 71.94
4.01 72.00 38.23 34.72
67.40 9.39 97.13 70.66
80.88 74.68 29.97 54.19
91.48 34.03 25.47 46.98
31.68 49.49 45.47 42.14
76.36 57.67 38.53 53.71
65.86 1.24 39.99 40.00
79.61 47.87 10.89 38.90
17.20 71.03 96.13 67.43
69.74 58.80 53.07 59.22
86.86 72.75 77.80 79.51
73.85 48.95 40.31 52.10
82.64 50.51 36.62 53.20
25.89 49.72 36.07 35.75
46.90 29.18 27.93 33.87
56.23 43.11 44.80 47.89
88.80 81.76 54.45 70.22
97.51 9.44 41.22 51.75
96.18 28.69 42.96 56.07
68.95 69.05 56.47 62.73
44.17 53.08 59.33 53.53
87.04 92.94 34.85 62.12
25.19 10.21 33.45 26.32
97.71 35.95 62.69 67.85
2.48 20.37 78.41 44.02
15.25 90.90 62.03 53.77
0.40 51.18 22.84 21.78
84.92 23.70 89.95 75.19
65.05 48.83 34.18 46.37
